PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"8488073","Deforestation: effects on vector-borne disease","Walsh JF, Molyneux DH, Birley MH.","Parasitology. 1993;106 Suppl:S55-75. doi: 10.1017/s0031182000086121.","Walsh JF","Parasitology","1993","1993/01/01","","","10.1017/s0031182000086121"
"29408493","Blood-meal preferences and avian malaria detection in mosquitoes (Diptera: Culicidae) captured at different land use types within a neotropical montane cloud forest matrix","Abella-Medrano CA, Ibáñez-Bernal S, Carbó-Ramírez P, Santiago-Alarcon D.","Parasitol Int. 2018 Jun;67(3):313-320. doi: 10.1016/j.parint.2018.01.006. Epub 2018 Feb 7.","Abella-Medrano CA","Parasitol Int","2018","2018/02/07","","","10.1016/j.parint.2018.01.006"
"19067629","Species interactions among larval mosquitoes: context dependence across habitat gradients","Juliano SA.","Annu Rev Entomol. 2009;54:37-56. doi: 10.1146/annurev.ento.54.110807.090611.","Juliano SA","Annu Rev Entomol","2009","2008/12/11","PMC2664081","NIHMS90299","10.1146/annurev.ento.54.110807.090611"
"25961567","West Nile virus positive blood donation and subsequent entomological investigation, Austria, 2014","Kolodziejek J, Seidel B, Jungbauer C, Dimmel K, Kolodziejek M, Rudolf I, Hubálek Z, Allerberger F, Nowotny N.","PLoS One. 2015 May 11;10(5):e0126381. doi: 10.1371/journal.pone.0126381. eCollection 2015.","Kolodziejek J","PLoS One","2015","2015/05/12","PMC4427133","","10.1371/journal.pone.0126381"
"23452561","Spatio-temporal analysis of malaria within a transmission season in Bandiagara, Mali","Coulibaly D, Rebaudet S, Travassos M, Tolo Y, Laurens M, Kone AK, Traore K, Guindo A, Diarra I, Niangaly A, Daou M, Dembele A, Sissoko M, Kouriba B, Dessay N, Gaudart J, Piarroux R, Thera MA, Plowe CV, Doumbo OK.","Malar J. 2013 Mar 1;12:82. doi: 10.1186/1475-2875-12-82.","Coulibaly D","Malar J","2013","2013/03/05","PMC3618208","","10.1186/1475-2875-12-82"
"11113264","Effects of environmental change on emerging parasitic diseases","Patz JA, Graczyk TK, Geller N, Vittor AY.","Int J Parasitol. 2000 Nov;30(12-13):1395-405. doi: 10.1016/s0020-7519(00)00141-7.","Patz JA","Int J Parasitol","2000","2000/12/13","","","10.1016/s0020-7519(00)00141-7"
"32459349","Inter-Population Similarities and Differences in Predation Efficiency of a Mosquito Natural Enemy","Cuthbert RN, Dalu T, Wasserman RJ, Weyl OLF, Froneman PW, Callaghan A, Dick JTA.","J Med Entomol. 2020 Nov 13;57(6):1983-1987. doi: 10.1093/jme/tjaa093.","Cuthbert RN","J Med Entomol","2020","2020/05/28","","","10.1093/jme/tjaa093"
"26540179","ECOLOGICAL DETERMINANTS OF AVIAN INFLUENZA VIRUS, WEST NILE VIRUS, AND AVIAN PARAMYXOVIRUS INFECTION AND ANTIBODY STATUS IN BLUE-WINGED TEAL (ANAS DISCORS) IN THE CANADIAN PRAIRIES","Nallar R, Papp Z, Leighton FA, Epp T, Pasick J, Berhane Y, Lindsay R, Soos C.","J Wildl Dis. 2016 Jan;52(1):33-46. doi: 10.7589/2013-07-191. Epub 2015 Nov 5.","Nallar R","J Wildl Dis","2016","2015/11/06","","","10.7589/2013-07-191"
"14696332","Origins, evolution, and vector/host coadaptations within the genus Flavivirus","Gould EA, de Lamballerie X, Zanotto PM, Holmes EC.","Adv Virus Res. 2003;59:277-314. doi: 10.1016/s0065-3527(03)59008-x.","Gould EA","Adv Virus Res","2003","2003/12/31","","","10.1016/s0065-3527(03)59008-x"
"28922357","Analysis of nuclear and organellar genomes of Plasmodium knowlesi in humans reveals ancient population structure and recent recombination among host-specific subpopulations","Diez Benavente E, Florez de Sessions P, Moon RW, Holder AA, Blackman MJ, Roper C, Drakeley CJ, Pain A, Sutherland CJ, Hibberd ML, Campino S, Clark TG.","PLoS Genet. 2017 Sep 18;13(9):e1007008. doi: 10.1371/journal.pgen.1007008. eCollection 2017 Sep.","Diez Benavente E","PLoS Genet","2017","2017/09/19","PMC5619863","","10.1371/journal.pgen.1007008"
"32088278","Neotropical Anopheles (Kerteszia) mosquitoes associated with bromeliad-malaria transmission in a changing world","Multini LC, Wilke ABB, Marrelli MT.","Acta Trop. 2020 May;205:105413. doi: 10.1016/j.actatropica.2020.105413. Epub 2020 Feb 21.","Multini LC","Acta Trop","2020","2020/02/24","","","10.1016/j.actatropica.2020.105413"
"20205866","Blood feeding patterns of mosquitoes: random or structured?","Chaves LF, Harrington LC, Keogh CL, Nguyen AM, Kitron UD.","Front Zool. 2010 Jan 21;7:3. doi: 10.1186/1742-9994-7-3.","Chaves LF","Front Zool","2010","2010/03/09","PMC2826349","","10.1186/1742-9994-7-3"
"21124880","Viral and epidemiological determinants of the invasion dynamics of novel dengue genotypes","Lourenço J, Recker M.","PLoS Negl Trop Dis. 2010 Nov 23;4(11):e894. doi: 10.1371/journal.pntd.0000894.","Lourenço J","PLoS Negl Trop Dis","2010","2010/12/03","PMC2990689","","10.1371/journal.pntd.0000894"
"31924253","Mosquito diversity and dog heartworm prevalence in suburban areas","Spence Beaulieu MR, Federico JL, Reiskind MH.","Parasit Vectors. 2020 Jan 10;13(1):12. doi: 10.1186/s13071-019-3874-0.","Spence Beaulieu MR","Parasit Vectors","2020","2020/01/12","PMC6953185","","10.1186/s13071-019-3874-0"
"22492161","Landscape-level spatial patterns of West Nile virus risk in the northern Great Plains","Chuang TW, Hockett CW, Kightlinger L, Wimberly MC.","Am J Trop Med Hyg. 2012 Apr;86(4):724-31. doi: 10.4269/ajtmh.2012.11-0515.","Chuang TW","Am J Trop Med Hyg","2012","2012/04/12","PMC3403767","","10.4269/ajtmh.2012.11-0515"
"32899581","Pathogenicity of West Nile Virus Lineage 1 to German Poultry","Holicki CM, Michel F, Vasić A, Fast C, Eiden M, Răileanu C, Kampen H, Werner D, Groschup MH, Ziegler U.","Vaccines (Basel). 2020 Sep 5;8(3):507. doi: 10.3390/vaccines8030507.","Holicki CM","Vaccines (Basel)","2020","2020/09/09","PMC7563189","","10.3390/vaccines8030507"
"33293574","Malaria hotspots explained from the perspective of ecological theory underlying insect foraging","Debebe Y, Hill SR, Tekie H, Dugassa S, Hopkins RJ, Ignell R.","Sci Rep. 2020 Dec 8;10(1):21449. doi: 10.1038/s41598-020-78021-x.","Debebe Y","Sci Rep","2020","2020/12/09","PMC7722757","","10.1038/s41598-020-78021-x"
"32503123","Sylvatic Mosquito Diversity in Kenya-Considering Enzootic Ecology of Arboviruses in an Era of Deforestation","Eastwood G, Sang RC, Lutomiah J, Tunge P, Weaver SC.","Insects. 2020 Jun 3;11(6):342. doi: 10.3390/insects11060342.","Eastwood G","Insects","2020","2020/06/07","PMC7349089","","10.3390/insects11060342"
"24843927","Host-seeking mosquito distribution in habitat mosaics of southern Great Plains cross-timbers","O'Brien VA, Reiskind MH.","J Med Entomol. 2013 Nov;50(6):1231-9. doi: 10.1603/me13007.","O'Brien VA","J Med Entomol","2013","2014/05/22","","","10.1603/me13007"
"22616748","Evidence of mosquito-transmitted flavivirus circulation in Piedmont, north-western Italy","Cerutti F, Giacobini M, Mosca A, Grasso I, Rambozzi L, Rossi L, Bertolotti L.","Parasit Vectors. 2012 May 22;5:99. doi: 10.1186/1756-3305-5-99.","Cerutti F","Parasit Vectors","2012","2012/05/24","PMC3407742","","10.1186/1756-3305-5-99"
"24044424","Outdoor malaria transmission in forested villages of Cambodia","Durnez L, Mao S, Denis L, Roelants P, Sochantha T, Coosemans M.","Malar J. 2013 Sep 17;12:329. doi: 10.1186/1475-2875-12-329.","Durnez L","Malar J","2013","2013/09/19","PMC3848552","","10.1186/1475-2875-12-329"
"25558082","Modelling the spatial spread of a homing endonuclease gene in a mosquito population","North A, Burt A, Godfray HC.","J Appl Ecol. 2013 Oct;50(5):1216-1225. doi: 10.1111/1365-2664.12133. Epub 2013 Jul 23.","North A","J Appl Ecol","2013","2015/01/06","PMC4277857","","10.1111/1365-2664.12133"
"23579803","Malaria entomological risk factors in relation to land cover in the Lower Caura River Basin, Venezuela","Rubio-Palis Y, Bevilacqua M, Medina DA, Moreno JE, Cárdenas L, Sánchez V, Estrada Y, Anaya W, Martínez Á.","Mem Inst Oswaldo Cruz. 2013 Apr;108(2):220-8. doi: 10.1590/0074-0276108022013015.","Rubio-Palis Y","Mem Inst Oswaldo Cruz","2013","2013/04/13","PMC3970659","","10.1590/0074-0276108022013015"
"11296843","Landscape affects the host-seeking patterns of Culex tarsalis (Diptera: Culicidae) in the Coachella Valley of California","Lothrop HD, Reisen WK.","J Med Entomol. 2001 Mar;38(2):325-32. doi: 10.1603/0022-2585-38.2.325.","Lothrop HD","J Med Entomol","2001","2001/04/12","","","10.1603/0022-2585-38.2.325"
"32716879","Thermal preferences of subtropical Aedes aegypti and temperate Ae. japonicus mosquitoes","Verhulst NO, Brendle A, Blanckenhorn WU, Mathis A.","J Therm Biol. 2020 Jul;91:102637. doi: 10.1016/j.jtherbio.2020.102637. Epub 2020 Jun 18.","Verhulst NO","J Therm Biol","2020","2020/07/28","","","10.1016/j.jtherbio.2020.102637"
"20422548","The use of remote sensing for the ecological description of multi-host disease systems: a case study on West Nile virus in southern France","Tran A, Gaidet N, L' Ambert G, Balenghien T, Balança G, Chevalier V, Soti V, Ivanes C, Etter E, Schaffner F, Baldet T, de la Rocque S.","Vet Ital. 2007 Jul-Sep;43(3):687-97.","Tran A","Vet Ital","2007","2010/04/28","","",""
"21590666","Geospatial tools for the identification of a malaria corridor in Estado Sucre, a Venezuelan north-eastern state","Delgado-Petrocelli L, Camardiel A, Aguilar VH, Martinez N, Córdova K, Ramos S.","Geospat Health. 2011 May;5(2):169-76. doi: 10.4081/gh.2011.168.","Delgado-Petrocelli L","Geospat Health","2011","2011/05/19","","","10.4081/gh.2011.168"
"19917119","Predicting the impact of insecticide-treated bed nets on malaria transmission: the devil is in the detail","Gu W, Novak RJ.","Malar J. 2009 Nov 16;8:256. doi: 10.1186/1475-2875-8-256.","Gu W","Malar J","2009","2009/11/18","PMC2780451","","10.1186/1475-2875-8-256"
"21672814","Po'ouli landscape bioinformatics models predict energetics, behavior, diets, and distribution on Maui","Porter WP, Vakharia N, Klousie WD, Duffy D.","Integr Comp Biol. 2006 Dec;46(6):1143-58. doi: 10.1093/icb/icl051. Epub 2006 Oct 18.","Porter WP","Integr Comp Biol","2006","2011/06/16","","","10.1093/icb/icl051"
"23383032","West nile virus prevalence across landscapes is mediated by local effects of agriculture on vector and host communities","Crowder DW, Dykstra EA, Brauner JM, Duffy A, Reed C, Martin E, Peterson W, Carrière Y, Dutilleul P, Owen JP.","PLoS One. 2013;8(1):e55006. doi: 10.1371/journal.pone.0055006. Epub 2013 Jan 30.","Crowder DW","PLoS One","2013","2013/02/06","PMC3559328","","10.1371/journal.pone.0055006"
"33107122","Amplification of pathogenic Leptospira infection with greater abundance and co-occurrence of rodent hosts across a counter-urbanizing landscape","Peterson AC, Ghersi BM, Riegel C, Wunder EA Jr, Childs JE, Blum MJ.","Mol Ecol. 2020 Oct 26. doi: 10.1111/mec.15710. Online ahead of print.","Peterson AC","Mol Ecol","2020","2020/10/27","","","10.1111/mec.15710"
"21661310","Bloodmeal host congregation and landscape structure impact the estimation of female mosquito (Diptera: Culicidae) abundance using dry ice-baited traps","Thiemann T, Nelms B, Reisen WK.","J Med Entomol. 2011 May;48(3):513-7. doi: 10.1603/me10273.","Thiemann T","J Med Entomol","2011","2011/06/14","PMC3117226","NIHMS299631","10.1603/me10273"
"12712313","The relative impacts of native and introduced predatory fish on a temporary wetland tadpole assemblage","Baber MJ, Babbitt KJ.","Oecologia. 2003 Jul;136(2):289-95. doi: 10.1007/s00442-003-1251-2. Epub 2003 Apr 24.","Baber MJ","Oecologia","2003","2003/04/25","","","10.1007/s00442-003-1251-2"
"7898955","From ""forest malaria"" to ""bromeliad malaria"": a case-study of scientific controversy and malaria control","Gadelha P.","Parassitologia. 1994 Aug;36(1-2):175-95.","Gadelha P","Parassitologia","1994","1994/08/01","","",""
"14524539","A geospatial study of the potential of two exotic species of mosquitoes to impact the epidemiology of West Nile virus in Maryland","Kutz FW, Wade TG, Pagac BB.","J Am Mosq Control Assoc. 2003 Sep;19(3):190-8.","Kutz FW","J Am Mosq Control Assoc","2003","2003/10/04","","",""
"20846447","Vectors and malaria transmission in deforested, rural communities in north-central Vietnam","Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, Xuan TN, Ngoc AL, Cooper RD.","Malar J. 2010 Sep 16;9:259. doi: 10.1186/1475-2875-9-259.","Manh CD","Malar J","2010","2010/09/18","PMC2945362","","10.1186/1475-2875-9-259"
"24850747","Discovery and evolution of bunyavirids in arctic phantom midges and ancient bunyavirid-like sequences in insect genomes","Ballinger MJ, Bruenn JA, Hay J, Czechowski D, Taylor DJ.","J Virol. 2014 Aug;88(16):8783-94. doi: 10.1128/JVI.00531-14. Epub 2014 May 21.","Ballinger MJ","J Virol","2014","2014/05/23","PMC4136290","","10.1128/JVI.00531-14"
"17847854","Evaluation of pyrethrin and permethrin ground ultra-low volume applications for adult Culex control in rural and urban environments of the Coachella Valley of California","Lothrop H, Lothrop B, Palmer M, Wheeler S, Gutierrez A, Gomsi D, Reisen WK.","J Am Mosq Control Assoc. 2007 Jun;23(2):190-207. doi: 10.2987/8756-971X(2007)23[190:EOPAPG]2.0.CO;2.","Lothrop H","J Am Mosq Control Assoc","2007","2007/09/13","","","10.2987/8756-971X(2007)23[190:EOPAPG]2.0.CO;2"
"18826815","Deforestation and vectorial capacity of Anopheles gambiae Giles mosquitoes in malaria transmission, Kenya","Afrane YA, Little TJ, Lawson BW, Githeko AK, Yan G.","Emerg Infect Dis. 2008 Oct;14(10):1533-8. doi: 10.3201/eid1410.070781.","Afrane YA","Emerg Infect Dis","2008","2008/10/02","PMC2573462","NIHMS72180","10.3201/eid1410.070781"
"7616516","Landscape ecology of arboviruses in southern California: patterns in the epizootic dissemination of western equine encephalomyelitis and St. Louis encephalitis viruses in Coachella Valley, 1991-1992","Reisen WK, Hardy JL, Lothrop HD.","J Med Entomol. 1995 May;32(3):267-75. doi: 10.1093/jmedent/32.3.267.","Reisen WK","J Med Entomol","1995","1995/05/01","","","10.1093/jmedent/32.3.267"
"24121802","Ecological niche modelling of potential West Nile virus vector mosquito species and their geographical association with equine epizootics in Italy","Mughini-Gras L, Mulatti P, Severini F, Boccolini D, Romi R, Bongiorno G, Khoury C, Bianchi R, Montarsi F, Patregnani T, Bonfanti L, Rezza G, Capelli G, Busani L.","Ecohealth. 2014;11(1):120-32. doi: 10.1007/s10393-013-0878-7. Epub 2013 Oct 12.","Mughini-Gras L","Ecohealth","2014","2013/10/15","","","10.1007/s10393-013-0878-7"
"23874719","Landscape movements of Anopheles gambiae malaria vector mosquitoes in rural Gambia","Thomas CJ, Cross DE, Bøgh C.","PLoS One. 2013 Jul 18;8(7):e68679. doi: 10.1371/journal.pone.0068679. Print 2013.","Thomas CJ","PLoS One","2013","2013/07/23","PMC3715529","","10.1371/journal.pone.0068679"
"22607071","National and regional associations between human West Nile virus incidence and demographic, landscape, and land use conditions in the coterminous United States","DeGroote JP, Sugumaran R.","Vector Borne Zoonotic Dis. 2012 Aug;12(8):657-65. doi: 10.1089/vbz.2011.0786. Epub 2012 May 18.","DeGroote JP","Vector Borne Zoonotic Dis","2012","2012/05/22","","","10.1089/vbz.2011.0786"
"22353581","Wild birds as sentinels for multiple zoonotic pathogens along an urban to rural gradient in greater Chicago, Illinois","Hamer SA, Lehrer E, Magle SB.","Zoonoses Public Health. 2012 Aug;59(5):355-64. doi: 10.1111/j.1863-2378.2012.01462.x. Epub 2012 Feb 22.","Hamer SA","Zoonoses Public Health","2012","2012/02/23","","","10.1111/j.1863-2378.2012.01462.x"
"2800529","[Isolation of viruses of antigenic complexes of California encephalitis and Bunyamwera (Bunyaviridae, Bunuavirus) from mosquitoes in northeast Asia]","L'vov SD, Gromashevskiĭ VL, Voropanov IuV, Andreev VP, Skvortsova TM.","Vopr Virusol. 1989 May-Jun;34(3):333-8.","L'vov SD","Vopr Virusol","1989","1989/05/01","","",""
"32438619","West Nile Virus Lineage 2 Vector Competence of Indigenous Culex and Aedes Mosquitoes from Germany at Temperate Climate Conditions","Holicki CM, Ziegler U, Răileanu C, Kampen H, Werner D, Schulz J, Silaghi C, Groschup MH, Vasić A.","Viruses. 2020 May 19;12(5):561. doi: 10.3390/v12050561.","Holicki CM","Viruses","2020","2020/05/23","PMC7291008","","10.3390/v12050561"
"15892886","The unexpected importance of mosquito oviposition behaviour for malaria: non-productive larval habitats can be sources for malaria transmission","Le Menach A, McKenzie FE, Flahault A, Smith DL.","Malar J. 2005 May 13;4:23. doi: 10.1186/1475-2875-4-23.","Le Menach A","Malar J","2005","2005/05/17","PMC1164431","","10.1186/1475-2875-4-23"
"24933611","Multi-peaked adaptive landscape for chikungunya virus evolution predicts continued fitness optimization in Aedes albopictus mosquitoes","Tsetsarkin KA, Chen R, Yun R, Rossi SL, Plante KS, Guerbois M, Forrester N, Perng GC, Sreekumar E, Leal G, Huang J, Mukhopadhyay S, Weaver SC.","Nat Commun. 2014 Jun 16;5:4084. doi: 10.1038/ncomms5084.","Tsetsarkin KA","Nat Commun","2014","2014/06/17","PMC7091890","","10.1038/ncomms5084"
"19444520","Association between habitat size, brushtail possum density, and the mosquito fauna of native forests in the Auckland region, New Zealand","Derraik JG.","Ecohealth. 2009 Jun;6(2):229-38. doi: 10.1007/s10393-009-0238-9. Epub 2009 May 15.","Derraik JG","Ecohealth","2009","2009/05/16","","","10.1007/s10393-009-0238-9"
"8906903","Landscape surrounding human settlements and Anopheles albimanus (Diptera: Culicidae) abundance in Southern Chiapas, Mexico","Rodriguez AD, Rodriguez MH, Hernandez JE, Dister SW, Beck LR, Rejmankova E, Roberts DR.","J Med Entomol. 1996 Jan;33(1):39-48. doi: 10.1093/jmedent/33.1.39.","Rodriguez AD","J Med Entomol","1996","1996/01/01","","","10.1093/jmedent/33.1.39"
"25434197","[Landscape and zonal distribution of bloodsucking mosquitoes and horse flies (Diptera: Culicidae, Tabanidae) in the northeastern Russian Plain]","Pestov SV, Paniukova EV.","Parazitologiia. 2013 Jul-Aug;47(4):320-32.","Pestov SV","Parazitologiia","2013","2014/12/02","","",""
"9516997","Investigation of haematophagous arthropods for borreliae--summarized data, 1988-1996","Hubálek Z, Halouzka J, Juricová Z.","Folia Parasitol (Praha). 1998;45(1):67-72.","Hubálek Z","Folia Parasitol (Praha)","1998","1998/03/28","","",""
"19722","[Effect of the landscape and climate on the distribution of blood-sucking mosquitoes in Murmansk Province]","Sharkov AA, Lutta AS.","Parazitologiia. 1977 Jul-Aug;11(4):333-9.","Sharkov AA","Parazitologiia","1977","1977/07/01","","",""
"17650043","Malaria epidemics in Tanzania: An overview","Mboera LE, Kitua AY.","Afr J Health Sci. 2001 Jan-Jun;8(1-2):17-23.","Mboera LE","Afr J Health Sci","2001","2007/07/26","","",""
"19653500","Efficacy of residual bifenthrin applied to landscape vegetation against Aedes albopictus","Doyle MA, Kline DL, Allan SA, Kaufman PE.","J Am Mosq Control Assoc. 2009 Jun;25(2):179-83. doi: 10.2987/08-5804.1.","Doyle MA","J Am Mosq Control Assoc","2009","2009/08/06","","","10.2987/08-5804.1"
